2	0	30461524685.0
2	1	17638376892.4
2	2	17279004486.7
2	3	17110964602.9
2	4	17003083988.2
2	5	16940209412.5
2	6	16911299665.8
2	7	16901723186.2
2	8	16898335623.2
2	9	16896766581.9
2	10	16896246110.8
2	11	16896178855.2
2	12	16896136816.8
2	13	16896111988.5
2	14	16896109519.1
2	15	16896107275.1
2	16	16896107275.1
2	17	16896107275.1
2	18	16896107275.1
2	19	16896107275.1
2	20	16896107275.1
2	0	30126192227.0
2	1	17049744104.4
2	2	16969727535.1
2	3	16924910365.3
2	4	16906071439.4
2	5	16899909141.7
2	6	16897486599.1
2	7	16896402956.8
2	8	16896231908.4
2	9	16896178855.2
2	10	16896136816.8
2	11	16896111988.5
2	12	16896109519.1
2	13	16896107275.1
2	14	16896107275.1
2	15	16896107275.1
2	16	16896107275.1
2	17	16896107275.1
2	18	16896107275.1
2	19	16896107275.1
2	20	16896107275.1
2	0	35972696387.0
2	1	17292501682.1
2	2	17111668788.3
2	3	17022039301.3
2	4	16954777709.1
2	5	16915042808.4
2	6	16902811640.2
2	7	16898644371.2
2	8	16896857312.5
2	9	16896244160.6
2	10	16896182597.6
2	11	16896139486.2
2	12	16896113697.0
2	13	16896109519.1
2	14	16896107275.1
2	15	16896107275.1
2	16	16896107275.1
2	17	16896107275.1
2	18	16896107275.1
2	19	16896107275.1
2	20	16896107275.1
2	0	29486617787.0
2	1	17767283059.2
2	2	17288231818.7
2	3	17014683548.5
2	4	16924858869.2
2	5	16902304555.1
2	6	16897182681.0
2	7	16896290981.9
2	8	16896143623.2
2	9	16896111445.5
2	10	16896106886.5
2	11	16896106886.5
2	12	16896106886.5
2	13	16896106886.5
2	14	16896106886.5
2	15	16896106886.5
2	16	16896106886.5
2	17	16896106886.5
2	18	16896106886.5
2	19	16896106886.5
2	20	16896106886.5
2	0	32498720871.0
2	1	17500947182.7
2	2	17323999475.7
2	3	17189670759.6
2	4	17087961276.3
2	5	17011784936.0
2	6	16953782975.3
2	7	16917150141.5
2	8	16903480476.1
2	9	16898963905.4
2	10	16896953349.1
2	11	16896253524.0
2	12	16896182597.6
2	13	16896139486.2
2	14	16896113697.0
2	15	16896109519.1
2	16	16896107275.1
2	17	16896107275.1
2	18	16896107275.1
2	19	16896107275.1
2	20	16896107275.1
2	0	27935185405.0
2	1	17253858859.0
2	2	17063129035.4
2	3	16997717922.3
2	4	16950202589.6
2	5	16920285162.9
2	6	16903494627.5
2	7	16897986636.2
2	8	16896380877.9
2	9	16896182281.6
2	10	16896113778.5
2	11	16896104775.0
2	12	16896104775.0
2	13	16896104775.0
2	14	16896104775.0
2	15	16896104775.0
2	16	16896104775.0
2	17	16896104775.0
2	18	16896104775.0
2	19	16896104775.0
2	20	16896104775.0
2	0	31118619103.0
2	1	17457175883.8
2	2	17220260909.2
2	3	17191575639.6
2	4	17183712844.1
2	5	17180066800.1
2	6	17178162095.3
2	7	17177113443.5
2	8	17176451432.2
2	9	17175954080.9
2	10	17175631650.9
2	11	17175442325.3
2	12	17175298492.5
2	13	17175223289.4
2	14	17175195708.2
2	15	17175191231.0
2	16	17175187954.3
2	17	17175181420.9
2	18	17175176826.3
2	19	17175174897.6
2	20	17175174897.6
2	0	32070403966.0
2	1	17138984405.3
2	2	16978465583.3
2	3	16917382814.0
2	4	16900855559.2
2	5	16897544857.0
2	6	16896534626.5
2	7	16896232103.1
2	8	16896169749.3
2	9	16896128056.8
2	10	16896111988.5
2	11	16896109519.1
2	12	16896107275.1
2	13	16896107275.1
2	14	16896107275.1
2	15	16896107275.1
2	16	16896107275.1
2	17	16896107275.1
2	18	16896107275.1
2	19	16896107275.1
2	20	16896107275.1
2	0	29848070708.0
2	1	17309732717.4
2	2	17058786912.8
2	3	16970962034.4
